Country/Region,Confirmed_Diff,Death_Diff,Recovery_Diff
USA,741920,14793,1250864.0
Brazil,475187,11026,201019.0
India,545336,8230,426218.0
Russia,55214,1272,74108.0
South Africa,85655,2537,112391.0
Mexico,67201,6495,5038.0
Peru,65692,2006,37790.0
Chile,18748,702,20214.0
Colombia,100609,3162,61194.0
Spain,82109,68,
Iran,26511,2064,22319.0
Saudi Arabia,15292,295,24153.0
Bangladesh,23426,341,18141.0
Turkey,10246,168,10077.0
Argentina,60779,1192,27277.0
France,24719,100,1248.0
Iraq,28018,703,23881.0
Philippines,37420,205,40391.0
Indonesia,18450,683,17472.0
Kazakhstan,11294,473,14467.0
Bolivia,15242,818,5895.0
Israel,15574,102,26294.0
Dominican Republic,12380,163,10335.0
Romania,11993,360,3198.0
Japan,11121,28,6907.0
